Date,Forecasted_Price
2024-10-01,12.12611774577806
2024-10-02,12.12740011937683
2024-10-03,12.1286824929756
2024-10-04,12.129964866574369
2024-10-05,12.131247240173138
2024-10-06,12.132529613771908
2024-10-07,12.133811987370677
2024-10-08,12.135094360969447
2024-10-09,12.136376734568103
2024-10-10,12.137659108166872
2024-10-11,12.138941481765642
2024-10-12,12.140223855364411
2024-10-13,12.14150622896318
2024-10-14,12.14278860256195
2024-10-15,12.14407097616072
2024-10-16,12.145353349759489
2024-10-17,12.146635723358258
2024-10-18,12.147918096957028
2024-10-19,12.149200470555797
2024-10-20,12.150482844154567
2024-10-21,12.151765217753336
2024-10-22,12.153047591351992
2024-10-23,12.154329964950762
2024-10-24,12.155612338549531
2024-10-25,12.1568947121483
2024-10-26,12.15817708574707
2024-10-27,12.15945945934584
2024-10-28,12.160741832944609
2024-10-29,12.162024206543379
2024-10-30,12.163306580142148
2024-10-31,12.164588953740918
2024-11-01,12.165871327339687
2024-11-02,12.167153700938456
2024-11-03,12.168436074537112
2024-11-04,12.169718448135882
2024-11-05,12.171000821734651
2024-11-06,12.17228319533342
2024-11-07,12.17356556893219
2024-11-08,12.17484794253096
2024-11-09,12.17613031612973
2024-11-10,12.177412689728499
2024-11-11,12.178695063327268
2024-11-12,12.179977436926038
2024-11-13,12.181259810524807
2024-11-14,12.182542184123577
2024-11-15,12.183824557722232
2024-11-16,12.185106931321002
2024-11-17,12.186389304919771
2024-11-18,12.18767167851854
2024-11-19,12.18895405211731
2024-11-20,12.19023642571608
2024-11-21,12.19151879931485
2024-11-22,12.192801172913619
2024-11-23,12.194083546512388
2024-11-24,12.195365920111158
2024-11-25,12.196648293709927
2024-11-26,12.197930667308697
2024-11-27,12.199213040907352
2024-11-28,12.200495414506122
2024-11-29,12.201777788104891
2024-11-30,12.203060161703661
2024-12-01,12.20434253530243
2024-12-02,12.2056249089012
2024-12-03,12.20690728249997
2024-12-04,12.208189656098739
2024-12-05,12.209472029697508
2024-12-06,12.210754403296278
2024-12-07,12.212036776895047
2024-12-08,12.213319150493817
2024-12-09,12.214601524092586
2024-12-10,12.215883897691242
2024-12-11,12.217166271290012
2024-12-12,12.218448644888781
2024-12-13,12.21973101848755
2024-12-14,12.22101339208632
2024-12-15,12.22229576568509
2024-12-16,12.223578139283859
2024-12-17,12.224860512882628
2024-12-18,12.226142886481398
2024-12-19,12.227425260080167
2024-12-20,12.228707633678937
2024-12-21,12.229990007277706
2024-12-22,12.231272380876362
2024-12-23,12.232554754475132
2024-12-24,12.233837128073901
2024-12-25,12.23511950167267
2024-12-26,12.23640187527144
2024-12-27,12.23768424887021
2024-12-28,12.238966622468979
2024-12-29,12.240248996067749
2024-12-30,12.241531369666518
2024-12-31,12.242813743265287
2025-01-01,12.244096116864057
2025-01-02,12.245378490462826
2025-01-03,12.246660864061482
2025-01-04,12.247943237660252
2025-01-05,12.249225611259021
2025-01-06,12.25050798485779
2025-01-07,12.25179035845656
2025-01-08,12.25307273205533
2025-01-09,12.2543551056541
2025-01-10,12.255637479252869
2025-01-11,12.256919852851638
2025-01-12,12.258202226450408
2025-01-13,12.259484600049177
2025-01-14,12.260766973647947
2025-01-15,12.262049347246716
2025-01-16,12.263331720845372
2025-01-17,12.264614094444141
2025-01-18,12.26589646804291
2025-01-19,12.26717884164168
2025-01-20,12.26846121524045
2025-01-21,12.26974358883922
2025-01-22,12.271025962437989
2025-01-23,12.272308336036758
2025-01-24,12.273590709635528
2025-01-25,12.274873083234297
2025-01-26,12.276155456833067
2025-01-27,12.277437830431836
2025-01-28,12.278720204030492
2025-01-29,12.280002577629261
2025-01-30,12.28128495122803
2025-01-31,12.2825673248268
2025-02-01,12.28384969842557
2025-02-02,12.28513207202434
2025-02-03,12.286414445623109
2025-02-04,12.287696819221878
2025-02-05,12.288979192820648
2025-02-06,12.290261566419417
2025-02-07,12.291543940018187
2025-02-08,12.292826313616956
